,Title,Price,Category,Subcategory,Location,City,Condition,Brand
117,Laptop Lenovo Legion 7 32GB Intel Core I9 SSD 1T,4600000.0,Laptops & Computers,computers-and-laptops,Abuja (FCT),Wuse 2,Used,Lenovo
118,Laptop Dell XPS 13 (9350) 8GB Intel Core I5 SSD 256GB,350000.0,Laptops & Computers,computers-and-laptops,Lagos State,Apapa,Used,Dell
119,Laptop Dell Latitude 3390 8GB Intel Core I5 SSD 256GB,310000.0,Laptops & Computers,computers-and-laptops,Kwara State,Ilorin South,Used,Dell
120,"50""Smart Led Tv",255000.0,TV & DVD Equipment,tv-dvd-equipment,Abuja (FCT),Kaura,Brand New,
121,T.I Professional Complete Audio Sound Equipment (Set),27500000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
122,Starlink Mini Wall Mount Pole,65000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
123,4g Long Power Supply Camera,60000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ojo,,
124,Laptop Apple MacBook Air 8GB Apple M1 SSD 256GB,650000.0,Laptops & Computers,computers-and-laptops,Rivers State,Port-Harcourt,Used,Apple
125,Color Ribbon Kit Ymcktf for Entrust Sigma DS EM,135000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
126,FUJIFILM Instax Mini Film 20sheets,40000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
127,Original Yamaha Mixer Mg166cx 16-Channels Console Mixer,240000.0,Audio & Music Equipment,audio-and-music-equipment,Lagos State,Ojo,Brand New,
128,Fargo DTC4500 Color Ribbon PN: 045200 YMCKO 500IMAGES,123500.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ojo,,
129,Dell 24” Ultrasharp 1080p Frameless Ips Monitor,170000.0,Computer Monitors,computer-monitors,Lagos State,Ikeja,Used,Dell
130,Hid Fargo Smartload Ribbon Cartridge (Pan Number: 045000),73000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
131,Datacard Colour Print Ribbon YMCKT|003|500prints,115000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ojo,,
132,Laptop HP Omen 15 16GB Intel Core i7 SSD 512GB,1470000.0,Laptops & Computers,computers-and-laptops,Abuja (FCT),Wuse,Used,HP
133,Autocad 2025 for Window/Mac,12000.0,Software,computer-software,Lagos State,Ikeja,,
134,Grand Stream Outdoor Radio,170000.0,Networking Products,networking-products,Lagos State,Ikeja,Brand New,
